,Unnamed: 0,instNum,instName,city,s\bagrut- list of schools.xlsx,es\main list - highschool.xlsx,all_files\school - bagrut.xlsx,list from students report.xlsx,nts/all_files\schools_utm.xlsx, list from school - money.xlsx
771,771,359067.0,עטרת התורה,ירושלים,True,False,False,True,True,False
772,772,359174.0,רנד,אכסאל,True,False,False,True,True,False
773,773,359182.0,"תיכון רנד לחנ""מ",אכסאל,True,False,False,True,True,False
774,774,359323.0,אפוסקופי מאר אליאס,חיפה,True,True,True,True,True,True
775,775,359489.0,"חט""ב - שכונה צפונית",טורעאן,True,False,False,False,False,False
776,776,360040.0,מקיף מבואות עירון,עין שמר,True,True,True,True,True,True
777,777,360123.0,מקיף גוונים,עין שמר,True,True,True,True,True,True
778,778,360149.0,מקיף אלוני יצחק,אלוני יצחק,True,True,True,True,True,True
779,779,360222.0,מקיף כרמל זבולון,יגור,True,True,True,True,True,True
780,780,360503.0,"סמט מ. חינוך ב""י",ירושלים,True,True,False,True,True,True
781,781,360529.0,עטרת שלמה אריה,ירושלים,True,True,False,True,True,True
782,782,360545.0,דעת משה,ירושלים,True,True,False,True,True,True
783,783,360552.0,תורת חסד,בית שמש,True,True,False,True,True,True
784,784,360560.0,לב אליהו,ירושלים,True,True,False,True,True,True
785,785,360578.0,ישיבת שלום בניך,ירושלים,True,True,False,True,True,True
786,786,360768.0,בית מלכה,יבנאל,True,True,True,True,True,True
787,787,360784.0,חנוך לנער,צפת,True,True,False,True,False,True
788,788,360800.0,מקיף גבעת פרדיס,פוריידיס,True,True,True,True,True,True
789,789,360826.0,ישיבה לצעירים באיאן,ביתר עילית,True,True,False,True,True,True
790,790,360834.0,ישיבה לצעירים סלונים,ביתר עילית,True,True,False,True,True,True
791,791,361261.0,"ישיבת ת""ת מורשה",ירושלים,True,True,False,True,True,True
792,792,361451.0,תורת אהרון,בני ברק,True,True,False,True,True,True
793,793,361469.0,"ישיבת אור הרמ""ז",אשדוד,True,True,False,True,True,True
794,794,361477.0,ישיבת ברכת אריה,ירושלים,True,True,False,True,True,True
795,795,361543.0,ישיבת חמדת משה,מודיעין עילית,True,True,False,True,True,True
796,796,361550.0,נהורא דהורייתא,אלעד,True,True,False,True,True,True
797,797,361667.0,ישיבת פאר אהרון,קוממיות,True,True,False,True,True,True
798,798,361881.0,ישיבת פסגת יצחק,בית מאיר,True,True,False,True,True,True
799,799,362103.0,חכמת התורה,מודיעין עילית,True,False,False,True,True,False
800,800,362194.0,ישיבת נצח התורה,מודיעין עילית,True,True,False,True,True,True
801,801,362202.0,ישיבת תנא דבי אליהו,ירושלים,True,True,False,True,True,True
