school,city,per student
620567,אשדוד,61840.98959
523431,ירושלים,61768.622
230821,טבריה,61046.03182
520619,בת ים,60939.17616
540427,בני ברק,60782.75274
221937,נהריה,60749.16613
170407,ירושלים,60605.52469
374751,פוריידיס,60198.33932
470302,רחובות,60019.64891
239863,בית שמש,58684.63253
520270,ירושלים,58676.81837
120485,ירושלים,58632.66721
228338,ירכא,58440.16343
630160,באר שבע,58249.35352
670828,יואב,58059.33746
470211,עמק חפר,57992.3647
570085,תל אביב-יפו,57716.07299
520148,ביתר עילית,57579.6982
240804,קרית שמונה,57359.45756
344085,קרית טבעון,56915.1903
240655,גולן,56716.6356
571125,הרצליה,56604.76531
421131,פתח תקוה,56456.94286
120238,מטה יהודה,56142.80305
420265,נס ציונה,56136.09723
420547,נתניה,56101.93874
731190,מודיעין עילית,55923.806
460410,קדומים,55330.16141
420638,ירושלים,55250.72747
338624,ירושלים,54864.45488
132241,ירושלים,54523.83656
370262,אור עקיבא,54391.87698
420620,ביתר עילית,54272.89397
734855,חיפה,54073.19
961003,עמק המעיינות,53707.76431
541052,בני ברק,53608.08558
270249,טבריה,53535.38746
630764,אשדוד,53535.3714
520346,נצרת,53483.48797
162628,ירושלים,53404.17403
240622,גולן,53347.30352
225300,כרמיאל,53251.57039
620351,אשקלון,53084.1317
520767,בני ברק,52784.76337
228650,מג'ד אל-כרום,52752.9932
711762,ירושלים,52335.81068
338046,כפר קרע,51947.21266
741165,זכרון יעקב,51929.354
723502,זבולון,51547.95667
165118,ירושלים,51519.94964
422097,מטה יהודה,51185.12326
480012,רעננה,51007.92827
370155,חוף הכרמל,50807.96636
431171,לוד,50758.81437
515486,בני ברק,50347.92887
247361,אבו סנאן,50332.32933
431189,נתניה,50016.01175
244566,מרום הגליל,49966.86132
331017,עמק יזרעאל,49841.55231
431205,נתניה,49839.46821
370486,חדרה,49694.21834
499756,בית שמש,49673.57005
521203,פתח תקוה,49509.18236
380048,זבולון,49437.47737
841247,גולן,49102.7014
520353,טמרה,49038.85729
610170,אילת,49021.82029
570580,תל אביב-יפו,49001.17887
630095,אשקלון,48870.8937
641308,אשדוד,48089.64638
470013,מטה יהודה,48070.24256
370569,נהריה,48049.28705
141291,מטה בנימין,47999.04928
362251,מודיעין עילית,47650.69986
348102,אום אל-פחם,47575.29067
541862,בני ברק,47485.64618
533208,תל אביב-יפו,47446.52796
540245,בני ברק,47353.30052
480020,פתח תקוה,46962.89326
641001,אופקים,46848.12447
344515,חדרה,46658.83302
170514,ירושלים,46647.18042
716423,ירושלים,46594.84566
641241,אשקלון,46560.70458
144212,קרית ארבע,46507.46325
519116,רחובות,46502.24083
442723,ירושלים,46355.22841
520858,תל אביב-יפו,45661.74507
370023,זבולון,45379.54086
470641,לוד,45360.19247
729574,נתניה,45257.90842
270280,מרום הגליל,45109.48234
470534,פתח תקוה,44999.09483
339408,כרמיאל,44882.5032
770388,כפר סבא,44853.93424
228569,אעבלין,44716.13612
370080,חוף הכרמל,44629.72501
640375,הר חברון,44603.09621
170456,ירושלים,44576.25792
412197,ירושלים,44517.13875
770834,ירושלים,44343.51418
441857,שומרון,44331.16484
277020,משהד,44201.77739
240820,מטה אשר,43925.645
470526,הוד השרון,43912.16452
455931,פתח תקוה,43888.57527
603555,שדות דן,43710.93693
340356,חדרה,43703.5955
372896,נצרת,43702.35508
240796,טבריה,43654.69084
480061,גן רוה,43587.21177
470088,פתח תקוה,43439.04645
570176,בני ברק,43392.9147
715219,ירושלים,43186.59579
