school,city,average badget,per student
648204,רהט,21116060.44,19206.89507
640235,קרית גת,21037699.41,29009.5138
244343,משגב,21028479.52,27639.9573
270157,בית שאן,21017949.14,36225.35185
260109,מגידו,20957635.75,23896.96209
640078,אשקלון,20897319.67,32238.9998
660076,יואב,20864008.05,19393.94688
260257,עמק יזרעאל,20850717.91,22536.44391
644823,אשדוד,20841848.46,28263.96591
680033,חוף אשקלון,20783555.35,33243.05078
444257,ראשון לציון,20755527.09,20030.42568
570051,תל אביב-יפו,20737633.63,25142.6208
442293,רחובות,20711204.58,19739.99674
240077,נוף הגליל,20676462.55,29879.28113
240267,טבריה,20633829.09,24974.37556
338657,נצרת,20615509.76,17701.7944
660274,בני שמעון,20590551.62,24477.59346
570713,בת ים,20507156.43,27004.41984
248435,אל בטוף,20434071.88,22351.86161
248344,שפרעם,20407452.54,19115.2609
370155,חוף הכרמל,20404479.29,50807.96636
260331,מטה אשר,20404006.12,25340.29572
140731,ירושלים,20370191.57,30285.74423
248666,זרזיר,20177320.44,21584.6389
260125,מטה אשר,20114578.15,30793.9041
360123,מנשה,20095473.94,22997.79577
644203,חורה,20086656.59,21359.69438
344911,מודיעין מכבים רעות,19931355.47,19816.42023
260182,עמק יזרעאל,19923123.95,22375.47614
248229,בוסתאן אל מרג,19698078.79,19690.2027
648030,רהט,19692047.49,20301.07989
770990,מרחבים,19657674.88,23764.11373
417204,לוד,19577395.97,17511.08763
380022,חוף הכרמל,19521768.86,32299.41903
800102,ערערה,19385702.24,22029.20709
770057,אופקים,19338757.7,28820.80134
140962,ירושלים,19254801.34,33278.26018
249110,בענה,19208031.25,25454.58687
544528,חולון,19205122.89,21642.01362
148247,ירושלים,19166871,14624.50099
165852,מודיעין מכבים רעות,19146693.44,21455.28176
248641,נחף,19145226.18,20577.4142
770297,תל אביב-יפו,19119375.62,16949.80108
248062,מעלות-תרשיחא,19108969.33,26952.00187
541169,הרצליה,19045361.77,27442.88439
440024,רעננה,18951034.96,25127.33354
660084,חוף אשקלון,18895195.26,26575.52077
247130,שפרעם,18881786,18720.78723
140665,קרית ארבע,18874313.04,33323.2928
648261,לקיה,18864915.88,20730.67679
520387,תל אביב-יפו,18788566.88,130295.1933
249037,כפר מנדא,18774432.37,21805.38023
644591,עומר,18741719.28,20389.16371
670810,באר שבע,18641468.36,17914.15372
800003,זמר,18628274.89,27936.82497
670232,שדרות,18615516.36,34717.48668
340158,חיפה,18578445.83,21643.11024
360149,מנשה,18538819.72,37467.29935
442236,גדרה,18413526.85,17859.87085
128033,ירושלים,18348369.27,86959.09608
670422,קרית מלאכי,18322541.14,28371.85063
460097,אפרתה,18321275.73,41023.90446
580035,מקווה ישראל,18316890.95,23286.15681
348227,פוריידיס,18259143.67,21706.06713
441006,הוד השרון,18246572.34,21894.13528
444737,חבל מודיעין,18126262.68,18061.24221
841254,דרום השרון,18101007.91,18166.40698
344093,חיפה,18008381.72,25522.08293
640029,קרית גת,17974385.73,29475.87034
348318,מעלה עירון,17911943.96,20822.99926
648147,ערערה בנגב,17882267.78,22397.62998
348185,ג'ת,17864994.15,29735.34312
370049,חיפה,17855056.03,21774.45857
460105,עמק חפר,17782932.65,18718.87648
249193,חורפיש,17728953.73,25047.9708
800086,כפר קאסם,17724567.56,26517.90478
541052,בני ברק,17679946.62,53608.08558
356212,זכרון יעקב,17666350.57,18934.99526
249300,עילוט,17637841.96,20222.24486
348243,אום אל-פחם,17621791.67,18021.87735
249136,מג'ד אל-כרום,17613867.63,18264.06846
470211,עמק חפר,17536891.09,57992.3647
440149,נתניה,17529728.96,21227.572
448076,קלנסווה,17493081.34,23865.04958
140095,ירושלים,17475638.52,31295.91426
270033,עכו,17410356.42,42115.0373
140103,ירושלים,17405626.94,17811.73448
448159,לוד,17236132.93,19802.54242
347054,דאלית אל-כרמל,17181357.39,26056.04699
800094,כפר כנא,17173431.59,20099.99015
140970,מטה בנימין,17115271.54,31438.77946
140145,ירושלים,17113237.88,25504.0803
570044,תל אביב-יפו,17109590.09,22935.10735
441469,שוהם,17035924.13,15224.23962
248443,נחף,17021947.29,22695.92971
347112,באקה אל-גרביה,17011914.91,18772.80392
189084,ירושלים,16925125.02,16489.79445
248302,דייר אל-אסד,16902936.84,21086.49805
841262,מטה יהודה,16837203.64,21486.9878
248088,טמרה,16826854.59,27148.84573
247247,עראבה,16814078.82,20691.70419
240499,קצרין,16782860.28,37697.35013
248534,שעב,16770279.22,22336.54664
248740,טמרה,16729346.13,27910.15371
544593,חולון,16693650.16,21457.13388
440297,פתח תקוה,16656343.96,30595.78244
548016,תל אביב-יפו,16580607.85,22394.1219
141432,ירושלים,16578576.52,13776.44717
148148,ירושלים,16513807.56,13643.26467
248674,בסמת טבעון,16511637.69,23500.76528
620328,אשדוד,16508253.62,94548.98978
444364,רחובות,16494286.54,34521.31967
800060,ירכא,16484431.61,22743.42109
144717,מודיעין מכבים רעות,16449451.73,23122.64792
441808,רעננה,16408609.86,25590.47077
441634,גבעת שמואל,16326589.67,19623.3049
770842,רמת השרון,16325700.05,21049.12332
249250,טובא-זנגריה,16316844.25,25793.30422
470120,לוד,16244973.82,25510.32321
148155,ירושלים,16230536.32,14763.08561
420042,עפולה,16204853.58,23143.17849
470146,עמק חפר,16187207.59,39850.33872
644344,קרית גת,16151978.14,27155.30958
141176,מעלה אדומים,16150604.93,26926.65043
441238,כפר סבא,16106906.53,25065.21402
570192,הרצליה,16095647.36,25039.89944
648097,לקיה,16078087.44,24134.02497
148056,ירושלים,16071794.76,18188.99362
644542,נתיבות,16028731.46,35938.85977
770602,חבל אילות,15985917.63,35858.94489
248583,מג'ד אל-כרום,15979785.26,23260.24056
441196,לוד,15978460.71,22977.36657
640581,אשדוד,15976925.03,25336.06887
444117,כפר סבא,15944375.79,23962.09166
140186,ירושלים,15944312.88,23067.58229
770875,ירושלים,15893417.35,25717.50381
520890,תל אביב-יפו,15804659.53,144466.7233
349928,כפר ורדים,15790774.19,38931.88903
140855,מבשרת ציון,15776127.39,16471.21256
180018,מטה יהודה,15689112.83,24422.65385
247346,כעביה-טבאש*,15642248.9,21707.25632
340380,קרית מוצקין,15603169.42,29529.08671
278010,נצרת,15590563.12,23472.69364
140129,ירושלים,15590397.14,26001.32945
270280,מרום הגליל,15580815.2,45109.48234
640656,קרית גת,15568768.32,30951.82569
247221,מטה אשר,15441526.93,24833.59107
249094,כאבול,15437234.71,26370.40435
247882,שבלי-אום אל-גנם,15414768,24436.85478
440206,באר יעקב,15399478.44,33317.78114
440172,כפר סבא,15352060.92,21665.3414
444679,רעננה,15335586.18,23984.33873
640797,רהט,15268598.68,18069.34754
540930,בני ברק,15264320.3,21462.76758
248047,ראמה,15190970.88,22287.22253
340091,נשר,15190103.46,25886.33854
770396,חיפה,15158150.74,18995.17637
648121,חורה,15042643.7,21337.08327
248708,סח'נין,15029741.11,18051.57471
610006,כסיפה,15029377.89,18518.20834
240127,בית שאן,15016149.26,29853.17943
770305,גזר,15010999.6,24017.59937
370999,קרית ביאליק,14975854.98,21965.17305
260059,עמק המעיינות,14938301.13,29816.96831
678011,תל שבע,14922053.07,16922.26477
378018,כפר קרע,14908291.8,22506.47916
442376,רעננה,14891267.35,24926.79503
140806,ירושלים,14853393.8,24144.00814
440545,רמלה,14834223.92,23903.03564
347062,אום אל-פחם,14821771.08,19075.63846
347013,חיפה,14811673.43,23859.01003
140012,ירושלים,14802416.73,19927.86313
380048,זבולון,14791693.23,49437.47737
347047,אום אל-פחם,14774588.75,18505.24643
240036,עכו,14736861.31,36441.29899
148080,אבו גוש,14700110.04,23717.50571
570135,רמת גן,14655437.11,23396.29168
541045,רמת השרון,14644104.48,20384.33252
670414,קרית מלאכי,14627113.48,34400.54911
344408,קרית אתא,14619651.05,19544.98803
325969,חיפה,14600323.97,180250.9132
240051,עפולה,14595523.59,39067.2473
448027,טירה,14583075.46,24313.23017
680066,באר טוביה,14582175.63,34571.30305
440073,ראשון לציון,14546488.42,32703.4362
440479,שדות דן,14519484.15,23631.9729
470021,רחובות,14489290.14,33980.51158
515502,תל אביב-יפו,14467060.81,16236.88082
248112,אכסאל,14446289.33,19149.3761
448274,כפר קאסם,14434155.63,17478.99689
342352,אום אל-פחם,14399264,20150.10355
440958,קרני שומרון,14338478.5,24343.76656
440560,חבל יבנה,14275654.27,32923.5569
344085,קרית טבעון,14240180.61,56915.1903
640102,אופקים,14210255.73,39715.63927
541508,בני ברק,14207066.03,18388.64358
480145,חבל מודיעין,14195624.26,33354.38031
771287,עכו,14192698,85808.33134
170092,ירושלים,14178595.19,29162.06333
338418,בית שמש,14172866.11,42459.15552
480087,ראשון לציון,14149529.87,36392.82374
770776,חצור הגלילית,14142254.13,34611.48832
770388,כפר סבא,14048252.2,44853.93424
228122,נצרת,14004768.18,84672.11716
347070,אום אל-פחם,13977233.95,23506.95249
640623,קרית גת,13967423.38,39300.57227
544395,הרצליה,13954899.95,24447.96767
644617,מיתר,13945991.24,19843.47075
640532,שפיר,13943655.65,29717.93617
540344,גבעתיים,13941451.55,23494.18865
640243,דימונה,13927007.41,35987.09924
270223,הגליל התחתון,13902565.42,63078.79048
640755,אשדוד,13897384.87,17268.12235
441030,כפר סבא,13804021,20851.99546
320036,חיפה,13787025.04,109944.3783
448217,קלנסווה,13706619.06,17137.55821
193185,בית שמש,13679649.62,27458.14857
198192,ירושלים,13668993.05,18099.8319
140202,בית שמש,13653308.36,37141.75288
261065,עמק הירדן,13639024.56,31837.12549
470047,רמלה,13627586.67,26481.90181
540179,תל אביב-יפו,13619721.88,26292.89938
148197,ירושלים,13600272.82,14489.95613
480038,פתח תקוה,13560231.62,33252.1619
520874,בני ברק,13478824.75,115996.7706
348060,ערערה,13451168.41,17253.93588
128017,ירושלים,13441683.63,74099.68923
178053,ירושלים,13440331.78,17670.69653
170456,ירושלים,13417453.63,44576.25792
248328,יפיע,13403002.95,26126.71141
344234,עספיא,13378022.93,30613.32479
540120,תל אביב-יפו,13351763.77,27850.98825
353581,צפת,13327672.81,33537.17366
340349,קרית ים,13314845.09,22514.11074
160374,מטה בנימין,13271693.03,126880.4305
141309,ירושלים,13264078.53,36560.30465
648337,חורה,13253409.03,19433.15107
640045,באר שבע,13246071.27,29806.64103
342113,קרית אתא,13243645.74,18647.76928
248013,כפר יאסיף,13242898.65,26296.46276
237354,מודיעין מכבים רעות,13232251.66,20864.47754
248815,כפר מנדא,13230608.35,17986.14512
648303,שגב שלום,13195448.82,17640.97435
284083,ירושלים,13184518.41,10334.31448
670331,אשדוד,13170906.47,38466.43246
860361,עמק הירדן,13138900.96,32473.80367
570200,גבעתיים,13137826.04,21579.87195
144691,ירושלים,13120422.18,29182.43369
448100,רמלה,13116486.19,18663.18467
770784,חצור הגלילית,13107349.12,41088.86872
541268,רמת גן,13071065.12,27739.95145
630095,אשקלון,13048528.62,48870.8937
141499,ירושלים,13045793.77,38056.5746
120493,ירושלים,12977792.7,193121.9151
620559,באר שבע,12976373.44,135452.7499
248138,טורעאן,12952939.11,22425.44859
460113,חבל יבנה,12920294.62,22965.32992
640136,אשדוד,12874501.75,39834.47322
247817,מסעדה,12847735.99,26810.80131
571224,בת ים,12838890.56,26223.22419
440214,שדות דן,12833076.5,24603.29083
141549,ירושלים,12763987.76,24046.69886
277020,משהד,12721271.53,44201.77739
770768,ירוחם,12720302.2,36406.13107
644443,אשקלון,12713568.25,24811.80377
248419,פקיעין - בוקייעה,12707399.35,26979.61645
340109,מנשה,12682952.27,27874.62038
247239,אעבלין,12655688.57,20126.73118
440339,חבל מודיעין,12634137.31,24315.12185
644849,באר שבע,12615045.93,29160.99383
460428,גזר,12606048.22,20510.97986
448134,טייבה,12590262.8,17171.6623
160549,מעלה אדומים,12572319.05,41005.60682
644708,באר שבע,12558859.16,28070.76255
448126,טייבה,12524235.1,17467.55244
544155,קרית אונו,12509873.39,16425.77913
247288,משהד,12474002.24,20748.50671
247833,ג'וליס,12446801.51,19060.95177
348326,באקה אל-גרביה,12438825.21,18169.47884
228015,נצרת,12432846.72,99942.49774
260240,מטה אשר,12411068.65,35298.83005
244384,טבריה,12389906.48,31382.74183
441014,רחובות,12373070.89,23978.81955
248856,ג'דיידה-מכר,12313063.21,19167.28394
542282,קרית אונו,12304635.93,16709.17427
338616,מעלה אדומים,12221929.15,33050.10586
144600,בית שמש,12213502.02,30127.04001
280115,הגליל העליון,12208116.09,29192.05187
640359,באר שבע,12206281.13,22185.17109
441410,הוד השרון,12190897.69,20345.28987
248682,טמרה,12184334.31,19709.37287
220046,קרית שמונה,12175079.38,100954.2237
270801,צפת,12168611.71,29521.13467
120287,ירושלים,12149670.95,161136.2195
344366,קרית מוצקין,12133869.96,19710.63996
525915,תל אביב-יפו,12119421.26,136173.2726
540849,בני ברק,12113647.57,22977.32847
520130,תל אביב-יפו,12052592.89,111186.2813
248716,סח'נין,12017872.42,18901.96984
440495,ראש העין,11981603.93,31663.85816
248765,כפר מנדא,11958900.05,18779.67972
140277,ירושלים,11956954.93,35543.86126
648055,לקיה,11947811.8,19043.37234
480061,גן רוה,11864439.04,43587.21177
648345,אל קסום,11849904.5,16467.34922
118158,ירושלים,11828709.88,16845.21487
520627,חולון,11813876.08,138660.5174
571109,רמת גן,11813592.68,21644.54503
288019,ראמה,11783483.79,27765.04192
260067,הגליל העליון,11776230.09,25238.38425
344218,קרית ביאליק,11755520.75,21713.18941
640177,באר שבע,11735639.19,33742.49335
